"","X","X.1","X.2","par1","par2","par3","r2","id"
"117","cv",5,101.898728976945,-4.29691255003726,2.26134306122649,4.72624957265967,0.0199413935471529,15
"118","cv",6,101.977759916023,-4.9547858327954,2.18747608193014,4.60378758087878,0.0191812765879219,15
"119","cv",7,102.077628283479,-4.76970622885316,2.66133507273884,4.97071163982388,0.0182207459314523,15
"120","cv",8,101.871808918482,-4.51705699153401,2.43701143205911,4.97279845934313,0.0202003097794529,15
"121","cv",1,101.972077083992,0.31543572434768,4.75466082338244,-4.13826774178911,0.0192359338785174,16
"122","cv",2,101.956328727024,1.26711564559036,4.10993168363348,-2.47637857986972,0.0193874010551834,16
"123","cv",3,101.972077083992,1.01111069081506,4.31174445196752,-0.587809570295743,0.0192359338785174,16
"124","cv",4,101.972077083992,0.331235203296477,4.82175251165847,-2.63335517141968,0.0192359338785174,16
"125","cv",5,101.969760830599,1.0210973874627,4.21788663037169,-0.44900118035508,0.0192582115270743,16
"126","cv",6,102.125129549868,1.5576455466152,3.97504481061752,1.28868168450621,0.0177638803217499,16
"127","cv",7,102.663066288917,-0.697206321638077,2.74214649091136,4.84283834416985,0.0125900225501635,16
"128","cv",8,101.972077083992,0.845448165200651,4.38387582218274,-3.77340907929465,0.0192359338785174,16
"129","cv",1,101.702355436966,-0.098104719186067,4.85927397571504,2.80521347403158,0.0218301077624162,17
"130","cv",2,101.83957158806,4.42139981830818,3.79857812712227,-1.94274316521152,0.0205103673576618,17
"131","cv",3,101.784746517887,1.73624184573948,3.84084950061979,2.968875983476,0.0210376730700282,17
"132","cv",4,108.83149539716,2.20704447152093,3.83055569513667,-2.63502861285828,-0.0467377246800853,17
"133","cv",5,101.858248570286,0.819800286528845,4.10842011516155,2.53081110781749,0.0203307327600869,17
"134","cv",6,102.161887110716,4.02504048663118,3.75700221720636,-1.36783500577487,0.0174103473167461,17
"135","cv",7,101.772841451634,1.33426728740107,3.95777871356124,2.11173779396438,0.0211521756036593,17
"136","cv",8,101.85752435469,0.103587270037169,4.77430595085868,2.24503954257225,0.0203376982417461,17
"137","cv",1,102.149685189217,4.97511588129522,3.67658353492573,-2.57798053787032,0.0175277049943189,18
"138","cv",2,101.745088855676,0.301508610781238,4.62869954835209,2.58609638551709,0.0214190991540619,18
"139","cv",3,101.826508001982,0.406920531241534,4.58157762435326,2.08076943947874,0.020636012496668,18
"140","cv",4,102.540923437252,2.21861725187392,3.83505776291713,0.504725592018693,0.0137647884593443,18
"141","cv",5,101.746145277126,0.275849286868818,4.6272752154232,2.96756682218984,0.0214089385274818,18
"142","cv",6,102.743256857344,4.25161762760939,3.80110346922814,-3.59633871278464,0.0118187523141922,18
"143","cv",7,101.919409882055,1.57862325651093,3.93306991233973,1.66142059805229,0.0197424852855308,18
"144","cv",8,101.517089548047,0.715431352611631,4.33401024354372,2.55386026343331,0.0236119889570118,18
"145","cv",1,101.972419452299,-4.99597093492991,-4.99988888674784,-0.436603213646715,0.0192326409914598,19
"146","cv",2,102.010966999304,-4.96332688805046,-4.99990147424742,-0.421056097015007,0.0188618919587761,19
"147","cv",3,103.21898578507,-4.99906343277306,-3.58267899592792,-0.994763010543713,0.00724320721527394,19
"148","cv",4,101.972077083992,0.303965952587091,4.75465519034727,-0.755227553785593,0.0192359338785174,19
"149","cv",5,102.5935376365,-4.97600874461228,-4.99919636198305,-0.764546875988898,0.0132587468304415,19
"150","cv",6,102.244921745828,-0.182658929803692,4.99570606971322,3.32102739556694,0.0166117229414254,19
"151","cv",7,101.881856705492,-4.99376259715102,-4.9999160557735,-0.311138469100712,0.020103670496178,19
"152","cv",8,102.309447643804,-4.81315296608955,-4.99987383255525,-0.614636684208099,0.0159911149879661,19
"153","cv",1,101.909083656119,1.18370739920042,4.16319767009707,-1.84370002010837,0.0198418025851907,20
