"","id","cond","age","x","y","z","trial","round","agegroup"
"197",1,"Rough",7,2,1,51,14,8,"7-8"
"198",1,"Rough",7,3,2,27,15,8,"7-8"
"199",1,"Rough",7,2,0,37,16,8,"7-8"
"200",1,"Rough",7,3,0,37,17,8,"7-8"
"201",1,"Rough",7,2,3,21,18,8,"7-8"
"202",1,"Rough",7,1,3,29,19,8,"7-8"
"203",1,"Rough",7,0,3,32,20,8,"7-8"
"204",1,"Rough",7,2,1,52,21,8,"7-8"
"205",1,"Rough",7,4,0,32,22,8,"7-8"
"206",1,"Rough",7,4,1,30,23,8,"7-8"
"207",1,"Rough",7,4,2,28,24,8,"7-8"
"208",1,"Rough",7,4,3,26,25,8,"7-8"
"209",2,"Smooth",10,0,1,5,0,1,"9-11"
"210",2,"Smooth",10,3,2,0,1,1,"9-11"
"211",2,"Smooth",10,4,4,14,2,1,"9-11"
"212",2,"Smooth",10,3,5,25,3,1,"9-11"
"213",2,"Smooth",10,3,6,38,4,1,"9-11"
"214",2,"Smooth",10,4,6,36,5,1,"9-11"
"215",2,"Smooth",10,4,7,45,6,1,"9-11"
"216",2,"Smooth",10,3,7,46,7,1,"9-11"
"217",2,"Smooth",10,5,6,33,8,1,"9-11"
"218",2,"Smooth",10,5,7,38,9,1,"9-11"
"219",2,"Smooth",10,2,7,48,10,1,"9-11"
"220",2,"Smooth",10,6,7,38,11,1,"9-11"
"221",2,"Smooth",10,1,7,50,12,1,"9-11"
"222",2,"Smooth",10,0,7,48,13,1,"9-11"
"223",2,"Smooth",10,1,6,45,14,1,"9-11"
"224",2,"Smooth",10,0,6,44,15,1,"9-11"
"225",2,"Smooth",10,2,6,41,16,1,"9-11"
"226",2,"Smooth",10,7,7,38,17,1,"9-11"
"227",2,"Smooth",10,7,6,34,18,1,"9-11"
"228",2,"Smooth",10,6,6,34,19,1,"9-11"
"229",2,"Smooth",10,0,5,31,20,1,"9-11"
"230",2,"Smooth",10,1,5,33,21,1,"9-11"
"231",2,"Smooth",10,2,5,29,22,1,"9-11"
"232",2,"Smooth",10,2,4,15,23,1,"9-11"
"233",2,"Smooth",10,7,2,13,24,1,"9-11"
"234",2,"Smooth",10,6,1,5,25,1,"9-11"
"235",2,"Smooth",10,3,1,31,0,2,"9-11"
"236",2,"Smooth",10,4,1,31,1,2,"9-11"
"237",2,"Smooth",10,4,2,25,2,2,"9-11"
"238",2,"Smooth",10,3,2,26,3,2,"9-11"
"239",2,"Smooth",10,3,3,22,4,2,"9-11"
"240",2,"Smooth",10,4,3,23,5,2,"9-11"
"241",2,"Smooth",10,4,4,21,6,2,"9-11"
"242",2,"Smooth",10,3,4,19,7,2,"9-11"
"243",2,"Smooth",10,6,4,20,8,2,"9-11"
"244",2,"Smooth",10,0,2,29,9,2,"9-11"
"245",2,"Smooth",10,0,3,21,10,2,"9-11"
"246",2,"Smooth",10,1,1,36,11,2,"9-11"
"247",2,"Smooth",10,0,0,48,12,2,"9-11"
"248",2,"Smooth",10,1,0,45,13,2,"9-11"
"249",2,"Smooth",10,2,0,38,14,2,"9-11"
"250",2,"Smooth",10,3,0,35,15,2,"9-11"
"251",2,"Smooth",10,4,0,30,16,2,"9-11"
"252",2,"Smooth",10,5,0,27,17,2,"9-11"
"253",2,"Smooth",10,6,0,20,18,2,"9-11"
"254",2,"Smooth",10,7,0,11,19,2,"9-11"
"255",2,"Smooth",10,0,1,39,20,2,"9-11"
"256",2,"Smooth",10,2,6,18,21,2,"9-11"
"257",2,"Smooth",10,1,4,19,22,2,"9-11"
"258",2,"Smooth",10,2,1,32,23,2,"9-11"
"259",2,"Smooth",10,5,2,27,24,2,"9-11"
"260",2,"Smooth",10,5,1,26,25,2,"9-11"
"261",2,"Smooth",10,5,6,19,0,3,"9-11"
"262",2,"Smooth",10,3,2,35,1,3,"9-11"
"263",2,"Smooth",10,2,2,32,2,3,"9-11"
"264",2,"Smooth",10,4,2,39,3,3,"9-11"
"265",2,"Smooth",10,5,2,39,4,3,"9-11"
"266",2,"Smooth",10,6,2,35,5,3,"9-11"
"267",2,"Smooth",10,5,3,32,6,3,"9-11"
