,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
beta_trial__76,-1.8328441305466212,0.6414774107049832,0.006945327985703813,-3.1583159216477092,-0.6160987106965023,4000.0,0.999867145598701
beta_trial__77,0.6442885926568227,0.7463667129710667,0.007678857765820668,-0.7662814972205505,2.192412476634113,4000.0,0.9998122971532536
beta_trial__78,1.7611553875092125,0.8070358385722504,0.007913598138916315,0.13050849788322846,3.2976617416731386,4000.0,0.9997903762439769
beta_trial__79,1.429633896253497,0.6831178283501642,0.007101575633662929,0.07833891943015495,2.718818094725173,4000.0,1.0000368727320428
beta_trial__80,0.45140133176461755,0.7716394490625973,0.008711344194465497,-1.070349491681735,1.8845888938327,4000.0,0.9998302773916776
beta_trial__81,-0.9723113348435478,0.5458753013108226,0.005481943709881235,-2.0706017095430065,0.09009618866227946,4000.0,0.9997504567350958
beta_trial__82,3.450479023449911,0.8105655773343868,0.008205489388222603,1.9129302831662052,5.054007384096749,4000.0,0.9997502304178866
beta_trial__83,-0.5488617664574207,0.6437741228246044,0.005457743522379219,-1.7833966699152302,0.7237846885202156,4000.0,0.9998000058831629
beta_trial__84,0.08644865355590352,0.767156727547012,0.007348465663559856,-1.417079227016884,1.5869066957219555,4000.0,0.9998809398156991
beta_trial__85,2.4556116652370306,0.6750725113565434,0.007661266666737524,1.121888504217702,3.773703916370866,4000.0,0.9998068419831645
beta_trial__86,4.929090744698818,0.675718399325098,0.007629870372906987,3.620769542802415,6.1998201789236616,4000.0,0.9999292234929362
beta_trial__87,4.234412694320433,0.49672594532230196,0.005202085544952455,3.2585623545335003,5.199897852866349,4000.0,0.9998322429698613
beta_trial__88,5.332524678220562,0.6669043689240688,0.006963665559689883,4.033237545003076,6.635623844833002,4000.0,0.9997525986408865
beta_trial__89,3.5520479937174834,0.612322664793495,0.005452706132775912,2.2305005531923072,4.678944578794692,4000.0,0.9998949798074043
beta_trial__90,5.534504323960219,0.6332076561377957,0.007199143736218452,4.290912984806507,6.788291036001574,4000.0,0.9997766569320811
beta_trial__91,4.124831970767682,0.647313318978358,0.006489565729982387,2.831543830875054,5.320572593089926,4000.0,0.999755041270575
beta_trial__92,3.9385928510254375,0.5511764351153099,0.005938445104834146,2.8362502447699103,4.976243310516947,4000.0,0.9997714837050448
beta_trial__93,4.1674899707571935,0.5255543808085658,0.004841255615665694,3.0744469995380532,5.13561207324173,4000.0,0.9998664725980689
beta_trial__94,4.509544518340426,0.5652054008917993,0.005470060517480039,3.4606301957180747,5.656888639071932,4000.0,0.9997919372067253
beta_trial__95,4.749871202164827,0.5305502518039842,0.005267344062265926,3.694118328324531,5.727377796197385,4000.0,0.9998253521651168
