"","X","X.1","X.2","par1","par2","par3","id","lambda","beta","tau"
"64","cv",8,103.191658252202,0.22849529484934,-3.11997341188537,-1.59869868675301,8,1.25670761211934,0.0441583424911566,0.202159419629633
"65","cv",1,104.556393665126,-0.910678402423186,-3.24840007052435,-0.377823580787329,9,0.402251243230549,0.0388362934828148,0.68535139915539
"66","cv",2,104.812233001862,0.431259029685139,3.9933798783854,4.99999398798235,9,1.53919419531193,54.2378974137707,148.412266842727
"67","cv",3,104.066226045018,-0.934021613569556,-2.98808473791336,0.273525834039823,9,0.392970154175881,0.0503838426364078,1.3145913199779
"68","cv",4,105.032925582361,0.518578917996961,4.12249024438334,4.99904320756525,9,1.67963904807865,61.7127308544505,148.271226425613
"69","cv",5,103.936768343511,0.506598765333368,2.6737093395848,4.53149606764724,9,1.65963677026727,14.4936314062903,92.8974380230973
"70","cv",6,104.011345017979,-2.26939729064018,-4.99999999981777,0.852093223064509,9,0.103374466069308,0.00673794700031333,2.34454938393572
"71","cv",7,103.957547093784,-0.802098568081716,-2.72536475649087,1.7024505996909,9,0.448387005422858,0.0655222986749735,5.48737829567636
"72","cv",8,104.309124344784,0.292399342852106,3.61287784285416,4.99999860284333,9,1.33963788564837,37.0725885287565,148.412951746286
"73","cv",1,104.70869582032,-0.863499937490423,-2.27174786449976,-1.56709885307425,10,0.421683630235454,0.103131762110157,0.208649628367624
"74","cv",2,104.284087408344,-0.9116728351606,-2.02517557096335,-1.48180480589317,10,0.40185143025212,0.131970670935872,0.227227217064258
"75","cv",3,102.613226882606,-0.709036425875191,-1.73645161586639,-0.890211083665129,10,0.492118161401274,0.176144320721121,0.410569079178958
"76","cv",4,104.298444624743,-0.82457093430322,-2.13364954173715,-1.50442464291697,10,0.43842306441207,0.118404382632848,0.222145069809393
"77","cv",5,102.577096518353,-0.964184132506629,-1.90840318780206,-1.09164792996326,10,0.3812941583808,0.148317032051946,0.335662888748995
"78","cv",6,103.944213615401,-0.802508051746949,-2.02950445807786,-1.44183758541161,10,0.448203435855369,0.131400619533245,0.236492783463619
"79","cv",7,103.625785389493,-0.70298068519271,-2.40838564954311,-1.3143757820717,10,0.495107343091511,0.08996040503213,0.26864196204122
"80","cv",8,107.002864330623,-1.15160216974669,-2.33305546859166,-1.74360934684377,10,0.316129869704558,0.0969989166990974,0.174888028524633
"81","cv",1,104.550529635468,-2.90210381150235,-1.76034348817605,-0.933693312711144,11,0.0549075832548238,0.171985778594697,0.393099187794593
"82","cv",2,104.28990590342,-4.38204302365522,-1.73698350792328,-0.836941301807061,11,0.012499795139412,0.176050655868067,0.433033017150479
"83","cv",3,103.58901035428,-2.96484487188731,-2.03617444717212,-0.66387304169465,11,0.0515684683438241,0.130527095271129,0.514853419225311
"84","cv",4,104.806557081076,0.089452377630085,-4.99984067659077,-0.679341224743581,11,1.09357525342703,0.00673902059729497,0.506950849060832
"85","cv",5,103.992646634613,-2.88675154374805,-1.70246091714382,-0.706037428015773,11,0.05575704305768,0.182234507759055,0.493596237980328
"86","cv",6,104.208790072979,-3.96440767839607,-1.46278020759093,-0.54815768835672,11,0.018979275118376,0.231591506386102,0.578013711451487
"87","cv",7,104.056651639823,-3.71326656426106,-1.81985455150555,-0.822246593228908,11,0.0243976963198505,0.162049319049348,0.439443294370486
"88","cv",8,103.475219125986,-4.49002258325546,-2.0670204083648,-0.545755455268427,11,0.0112203904137848,0.126562324497989,0.579403904229634
"89","cv",1,104.288825979859,-0.766856998525518,-2.704796382467,-1.31577001436208,12,0.464470608393094,0.0668839412032856,0.26826767372625
"90","cv",2,102.31125230715,-1.02732382221816,-2.61281334208524,-1.01321983457097,12,0.35796365423517,0.0733279566727069,0.363048140675013
"91","cv",3,103.907579740128,-0.76252274071977,-2.68531241569597,-1.28683470125982,12,0.466488112786779,0.0681998839534851,0.276143477793763
"92","cv",4,102.70996607942,-0.899213517498374,-3.08794393502925,-1.06866102229869,12,0.406889545439441,0.0455956056226762,0.343468105795519
"93","cv",5,102.800093088446,-0.814695974111799,-2.63563120738191,-1.13910532946499,12,0.44277392163504,0.0716737141499064,0.320105282507067
"94","cv",6,102.695036895861,-0.71177896034576,-2.46945798240698,-1.19034717220908,12,0.490770359421522,0.0846307179102916,0.30411566522996
"95","cv",7,106.08153443976,-0.642683528887885,-2.59647124101873,-1.4220126553968,12,0.525879316496249,0.0745361347474418,0.241228019113533
"96","cv",8,105.26847932439,-0.757814141500054,-2.61179510115979,-1.40284154709638,12,0.468689797708829,0.0734026602258237,0.245897241672452
"97","cv",1,104.099971482006,-0.54085133017179,3.49311199924331,4.99986182665789,13,0.582252352321475,32.8881364738978,148.392653777048
"98","cv",2,104.531982298093,-0.387855177610526,3.78026587891348,4.99990664722139,13,0.678510599675397,43.8276930459939,148.399304968463
"99","cv",3,104.613486436916,0.22876835372004,-0.0961105015164878,1.06878035645213,13,1.25705081413575,0.90836363496349,2.91182594365678
"100","cv",4,104.126492288773,-0.636975730248211,3.49419139281695,4.99964738019908,13,0.528889512367109,32.9236548827793,148.360834909775
"101","cv",5,103.929625520016,-0.2480190784051,3.38874657914403,4.9999357896879,13,0.780345055396932,29.6287916409001,148.403629753255
